order_id,date,item_name,Product_category,quantity,Unit_Price,transaction_amount,transaction_type,received_by,time_of_sale,Customer_ID,Delivery_Address
23,5/26/2022,Side Dish Mashed Potatoes Large,Side ,9,5.79,52.11,Online,Z2504,Midnight,(307) 501-1010,"105 Cherry Ct, Hialeah"
24,2/11/2023,Side Dish Beand,Side ,8,3.59,28.72,Online,Z2504,Afternoon,(310) 502-1002,"271 Elm St, Miami"
25,8/31/2022,Side Dish Beand,Side ,7,3.59,25.13,Online,E3960,Evening,(307) 507-1015,"172 Birch Blvd, North Miami"
26,8/18/2022,Side Dish Yuca,Side ,4,3.59,14.36,Cash,O8563,Afternoon,(307) 511-1012,"991 Pine Rd, North Miami"
27,10/12/2022,Side Dish Plantains,Side ,9,3.59,32.31,Online,O8563,Afternoon,(310) 501-1016,"443 Cherry Ct, Doral"
28,1/6/2023,Side Dish Mashed Potatoes,Side ,7,3.59,25.13,Online,Z2504,Afternoon,(307) 509-1003,"573 Willow Way, Homestead"
29,2/10/2023,Side Dish Plantains Large,Side ,6,5.79,34.74,Online,E3960,Afternoon,(309) 511-1014,"823 Cherry Ct, Doral"
30,1/28/2023,Alfajor,Desert,8,3.45,27.6,Cash,O8563,Night,(309) 511-1005,"560 Maple Dr, Doral"
31,9/14/2022,Water ,Soda,9,1.5,13.5,Online,Z2504,Evening,(310) 508-1017,"885 Cherry Ct, North Miami"
32,5/6/2022,1/2 Chicken,Chicken_Main ,9,13.13,118.17,Card,O8563,Morning,(309) 500-1008,"544 Pine Rd, Miami Beach"
33,2/5/2023,Water ,Soda,10,1.5,15,Online,E3960,Night,(306) 509-1021,"305 Oak Ave, Hialeah"
34,2/4/2023,Side Dish Fries Large,Side ,3,5.79,17.37,Online,Z2504,Evening,(310) 508-1015,"639 Willow Way,  Dolphin"
35,5/22/2022,Side dish Salad,Side ,4,15.45,61.8,Cash,E3960,Morning,(310) 502-1010,"897 Maple Dr, Hialeah"
36,7/2/2022,Soda ,Soda,5,1.8,9,Online,Z2504,Afternoon,(305) 510-1017,
37,1/5/2023,Side Dish Plantains Large,Side ,3,5.79,17.37,Cash,O8563,Night,(309) 505-1002,"791 Main St, Hialeah"
38,3/8/2023,Side Dish Fries Large,Side ,2,5.79,11.58,Online,Z2504,Night,(309) 502-1004,"665 Elm St, Miami"
39,5/14/2022,Water ,Soda,1,1.5,1.5,Online,O8563,Evening,(310) 504-1002,"354 Cherry Ct, Miami Beach"
40,2/5/2023,1/2 chicken salad and 2 sodas ,Combo ,1,17.99,17.99,Online,O8563,Night,(310) 510-1008,"653 Main St, Kendall"
41,11/13/2022,Water ,Soda,6,1.5,9,Card,E3960,Afternoon,(307) 505-1011,"877 Pine Rd, Doral"
42,5/9/2022,Soda ,Soda,8,1.8,14.4,Online,E3960,Night,(308) 506-1019,"810 Main St, Kendall"
43,5/26/2022,1 chicken and 4 sodas ,Combo ,6,40.54,243.24,Cash,O8563,Night,(305) 510-1008,
44,8/28/2022,Arroz con leche,Desert,6,4.99,29.94,Cash,E3960,Evening,(306) 506-1004,"483 Oak Ave, North Miami"
45,8/15/2022,Side Dish Plantains Large,Side ,7,5.79,40.53,Cash,Z2504,Afternoon,(310) 501-1021,"632 Oak Ave,  Dolphin"
46,5/7/2022,Side Dish Mashed Potatoes,Side ,6,3.59,21.54,Cash,Z2504,Evening,(305) 506-1018,
47,7/10/2022,Side Dish Mashed Potatoes,Side ,4,3.59,14.36,Card,O8563,Morning,(308) 510-1013,"771 Birch Blvd, Coral Gables"
48,2/23/2023,Tres Leches ,Desert,9,4.99,44.91,Online,Z2504,Afternoon,(307) 506-1003,"937 Maple Dr, North Miami"
49,11/6/2022,Alfajor,Desert,9,3.45,31.05,Online,Z2504,Morning,(306) 508-1005,
50,11/2/2022,Side Dish Yuca,Side ,8,3.59,28.72,Cash,E3960,Midnight,(309) 501-1017,
51,5/16/2022,Soda ,Soda,1,1.8,1.8,Online,E3960,Morning,(310) 508-1019,"672 Elm St, Hialeah"
52,3/16/2023,Chicha,Soda,6,3.6,21.6,Cash,E3960,Midnight,(307) 510-1011,"892 Cedar Ln, Miami Beach"
53,7/26/2022,1/2 chicken with fries ,Combo ,7,15.99,111.93,Cash,E3960,Afternoon,(307) 510-1011,"892 Cedar Ln, Miami Beach"
54,12/28/2022,Soda ,Soda,5,1.8,9,Online,O8563,Morning,(309) 510-1001,"614 Elm St, Coral Gables"
55,5/7/2022,Side Dish Mashed Potatoes,Side ,2,3.59,7.18,Cash,O8563,Night,(307) 502-1006,"989 Willow Way, Kendall"
56,11/23/2022,1/2 chicken salad and 2 sodas ,Combo ,2,17.99,35.98,Cash,Z2504,Midnight,(306) 506-1015,"456 Pine Rd,  Dolphin"
57,8/4/2022,1 Piece Chicken ,Chicken_Main ,3,10.99,32.97,Online,Z2504,Morning,(309) 501-1014,"152 Cedar Ln, Coral Gables"
58,2/3/2023,Tres Leches ,Desert,6,4.99,29.94,Online,O8563,Morning,(308) 506-1013,"530 Birch Blvd, Coral Gables"
59,7/1/2022,1 chichen and 2 sides,Combo ,4,45.59,182.36,Cash,E3960,Morning,(308) 503-1015,"480 Oak Ave, Miami"
60,6/11/2022,2 chickens and 4 sides ,Combo ,7,65.49,458.43,Online,E3960,Night,(307) 507-1008,"850 Cherry Ct,  Dolphin"
61,12/25/2022,Arroz con leche,Desert,1,4.99,4.99,Cash,O8563,Afternoon,(310) 505-1018,"483 Willow Way,  Dolphin"
62,10/17/2022,1/2 chicken salad and 2 sodas ,Combo ,9,17.99,161.91,Cash,Z2504,Afternoon,(307) 505-1017,"293 Cherry Ct, Doral"
63,12/1/2022,Side Dish Yuca Large,Side ,9,5.79,52.11,Online,E3960,Morning,(308) 506-1020,"896 Oak Ave, Hialeah"
64,12/9/2022,Chicken Sub 12in,Chicken_Main ,3,12.99,38.97,Cash,O8563,Morning,(310) 511-1000,"609 Elm St, Kendall"
65,7/25/2022,Side Dish Yuca,Side ,1,3.59,3.59,Cash,Z2504,Morning,(305) 503-1009,"743 Cherry Ct, Miami Beach"
66,4/5/2022,1 chichen and 2 sides,Combo ,1,45.59,45.59,Cash,O8563,Morning,(305) 505-1015,"102 Willow Way, Coral Gables"
67,5/15/2022,Side Dish Plantains,Side ,5,3.59,17.95,Cash,Z2504,Midnight,(307) 508-1001,"149 Pine Rd, Miami Beach"
68,12/17/2022,1 chicken and 4 sodas ,Combo ,1,40.54,40.54,Card,E3960,Night,(306) 500-1001,"925 Cedar Ln, Hialeah"
69,1/10/2023,Side Dish Beand,Side ,1,3.59,3.59,Cash,E3960,Midnight,(309) 504-1004,"948 Main St, Homestead"
70,5/9/2022,Side Dish Yuca Large,Side ,6,5.79,34.74,Card,Z2504,Morning,(310) 504-1007,"995 Elm St, Kendall"
71,12/5/2022,Side Dish Mashed Potatoes,Side ,8,3.59,28.72,Online,Z2504,Night,(308) 503-1011,"288 Cedar Ln, Doral"
72,3/9/2023,Side Dish Fries Large,Side ,9,5.79,52.11,Online,Z2504,Afternoon,(306) 501-1018,"834 Elm St,  Dolphin"
73,7/29/2022,Side Dish Plantains,Side ,5,3.59,17.95,Cash,O8563,Midnight,(309) 509-1015,"173 Elm St, Miami Beach"
74,8/15/2022,1/2 chicken salad and 2 sodas ,Combo ,2,17.99,35.98,Online,E3960,Evening,(310) 510-1004,"214 Main St, Hialeah"
75,2/2/2023,Side Dish Mashed Potatoes Large,Side ,3,5.79,17.37,Online,E3960,Afternoon,(307) 509-1001,"974 Willow Way, Doral"
76,8/17/2022,1/2 chicken salad and 2 sodas ,Combo ,5,17.99,89.95,Online,Z2504,Morning,(305) 509-1020,"874 Cedar Ln, Coral Gables"
77,2/4/2023,Side Dish Yuca,Side ,9,3.59,32.31,Cash,Z2504,Midnight,(307) 504-1019,"567 Main St, Miami"
78,10/1/2022,1 chichen and 2 sides,Combo ,10,45.59,455.9,Cash,E3960,Evening,(306) 508-1003,"807 Oak Ave, Hialeah"
79,11/5/2022,Side Dish Mashed Potatoes Large,Side ,2,5.79,11.58,Online,Z2504,Night,(309) 509-1003,"269 Maple Dr, Homestead"
80,5/24/2022,1/2 chicken salad and 2 sodas ,Combo ,1,17.99,17.99,Cash,Z2504,Evening,(305) 504-1002,"709 Maple Dr, Kendall"
81,11/19/2022,1/2 Chicken,Chicken_Main ,8,13.13,105.04,Online,Z2504,Night,(308) 511-1013,"189 Willow Way, Doral"
82,7/17/2022,Side Dish Mashed Potatoes Large,Side ,1,5.79,5.79,Online,O8563,Evening,(310) 511-1001,"567 Cherry Ct, Miami Beach"
83,11/13/2022,Alfajor,Desert,5,3.45,17.25,Card,E3960,Evening,(306) 502-1007,"472 Maple Dr, Doral"
84,3/3/2023,Side Dish Yuca Large,Side ,8,5.79,46.32,Cash,Z2504,Midnight,(308) 505-1002,
85,8/19/2022,Soda ,Soda,9,1.8,16.2,Online,Z2504,Night,(306) 501-1016,"838 Cedar Ln, Hialeah"
86,3/9/2023,Chicken Sub 6in ,Chicken_Main ,4,8.99,35.96,Cash,Z2504,Morning,(310) 502-1019,"109 Birch Blvd, Miami Beach"
87,5/29/2022,Side Dish Beans Large,Side ,8,5.79,46.32,Cash,O8563,Night,(309) 507-1020,"429 Cherry Ct,  Dolphin"
88,7/7/2022,Tres Leches ,Desert,8,4.99,39.92,Cash,Z2504,Evening,(310) 501-1016,"443 Cherry Ct, Doral"
89,12/23/2022,1 chichen and 2 sides,Combo ,6,45.59,273.54,Cash,O8563,Evening,(306) 510-1013,"221 Cedar Ln, Homestead"
90,10/29/2022,Side Dish Mashed Potatoes,Side ,9,3.59,32.31,Online,E3960,Night,(310) 510-1014,"257 Cedar Ln, Kendall"
91,3/22/2023,Side Dish Fries Large,Side ,5,5.79,28.95,Card,O8563,Evening,(309) 500-1016,"605 Cedar Ln, North Miami"
92,5/13/2022,Arroz con leche,Desert,6,4.99,29.94,Cash,O8563,Afternoon,(310) 508-1012,"371 Oak Ave, North Miami"
93,7/3/2022,Side Dish Mashed Potatoes Large,Side ,6,5.79,34.74,Online,O8563,Midnight,(308) 501-1011,"855 Pine Rd, Doral"
94,9/14/2022,Chicha,Soda,2,3.6,7.2,Card,Z2504,Night,(310) 504-1012,"703 Willow Way, Hialeah"
95,5/12/2022,Side Dish Beand,Side ,5,3.59,17.95,Online,Z2504,Night,(305) 505-1017,"126 Elm St, North Miami"
96,8/22/2022,1/2 chicken salad and 2 sodas ,Combo ,7,17.99,125.93,Card,Z2504,Morning,(305) 504-1017,"784 Oak Ave, Miami Beach"
97,3/29/2023,Chicken Sub 6in ,Chicken_Main ,6,8.99,53.94,Online,O8563,Evening,(305) 511-1008,"305 Birch Blvd,  Dolphin"
98,12/24/2022,Alfajor,Desert,3,3.45,10.35,Online,E3960,Morning,(310) 503-1003,"849 Cherry Ct, Miami Beach"
99,9/11/2022,1/2 Chicken,Chicken_Main ,3,13.13,39.39,Cash,Z2504,Evening,(309) 502-1015,"709 Oak Ave, Hialeah"
100,5/8/2022,Side Dish Fries,Side ,1,3.59,3.59,Card,O8563,Morning,(307) 507-1015,"172 Birch Blvd, North Miami"
101,3/26/2023,Side Dish Yuca,Side ,6,3.59,21.54,Online,E3960,Morning,(307) 508-1004,"657 Willow Way, Kendall"
102,3/13/2023,Side Dish Beand,Side ,10,3.59,35.9,Cash,Z2504,Morning,(308) 507-1008,"453 Willow Way, Hialeah"
103,3/14/2023,1 Whole Chicken,Chicken_Main ,5,23.99,119.95,Online,O8563,Midnight,(310) 509-1015,"250 Cedar Ln, Hialeah"
104,10/27/2022,2 Whole Chickents,Chicken_Main ,9,40.79,367.11,Online,Z2504,Morning,(308) 504-1020,
105,1/25/2023,1/2 Chicken,Chicken_Main ,6,13.13,78.78,Cash,Z2504,Evening,(308) 510-1010,"424 Willow Way, Miami"
106,2/25/2023,1 Piece Chicken ,Chicken_Main ,6,10.99,65.94,Cash,E3960,Evening,(307) 509-1011,"422 Birch Blvd, Kendall"
107,2/7/2023,Side Dish Beans Large,Side ,1,5.79,5.79,Online,Z2504,Afternoon,(309) 504-1004,"948 Main St, Homestead"
108,8/6/2022,1 Whole Chicken,Chicken_Main ,1,23.99,23.99,Online,E3960,Afternoon,(308) 504-1021,"366 Willow Way, Kendall"
109,8/8/2022,Side Dish Beand,Side ,6,3.59,21.54,Card,Z2504,Afternoon,(306) 503-1019,"780 Maple Dr, Doral"
110,11/16/2022,Tres Leches ,Desert,1,4.99,4.99,Online,O8563,Morning,(306) 502-1007,"472 Maple Dr, Doral"
111,9/4/2022,Alfajor,Desert,8,3.45,27.6,Cash,E3960,Midnight,(308) 500-1013,"509 Pine Rd, Homestead"
112,2/24/2023,1 Piece Chicken ,Chicken_Main ,6,10.99,65.94,Cash,Z2504,Morning,(310) 510-1006,"947 Birch Blvd, Miami Beach"
113,12/12/2022,Tres Leches ,Desert,1,4.99,4.99,Cash,O8563,Afternoon,(309) 500-1000,"789 Birch Blvd, Hialeah"
114,8/14/2022,1 chicken and 4 sodas ,Combo ,5,40.54,202.7,Online,E3960,Afternoon,(308) 509-1008,"397 Elm St, Kendall"
115,1/12/2023,1 chicken and 4 sodas ,Combo ,5,40.54,202.7,Card,O8563,Evening,(309) 500-1022,"985 Main St, Homestead"
116,8/26/2022,1/2 chicken with fries ,Combo ,1,15.99,15.99,Cash,Z2504,Evening,(305) 506-1016,"939 Cedar Ln, Coral Gables"
117,3/9/2023,Chicha,Soda,6,3.6,21.6,Online,Z2504,Evening,(308) 508-1013,"751 Main St, Doral"
118,7/6/2022,1 chichen and 2 sides,Combo ,1,45.59,45.59,Online,Z2504,Midnight,(306) 503-1001,"647 Oak Ave, Hialeah"
119,5/12/2022,1 chicken and 4 sodas ,Combo ,4,40.54,162.16,Cash,Z2504,Evening,(305) 500-1013,"111 Cedar Ln, North Miami"
120,7/10/2022,1 Whole Chicken,Chicken_Main ,8,23.99,191.92,Cash,Z2504,Evening,(308) 503-1008,"515 Maple Dr, Hialeah"
121,8/26/2022,Side Dish Yuca,Side ,5,3.59,17.95,Cash,E3960,Afternoon,(308) 503-1020,"455 Elm St, Hialeah"
122,4/24/2022,Side Dish Fries,Side ,6,3.59,21.54,Card,E3960,Night,(305) 503-1011,"734 Cedar Ln, Miami"
123,6/9/2022,1 Whole Chicken,Chicken_Main ,3,23.99,71.97,Online,Z2504,Evening,(307) 503-1010,"947 Main St, Homestead"
124,10/14/2022,Side Dish Beand,Side ,2,3.59,7.18,Card,O8563,Evening,(307) 506-1003,"937 Maple Dr, North Miami"
125,4/10/2022,1 Whole Chicken,Chicken_Main ,5,23.99,119.95,Cash,Z2504,Midnight,(307) 500-1006,"713 Elm St, Hialeah"
126,4/8/2022,Side Dish Beand,Side ,1,3.59,3.59,Online,O8563,Night,(310) 508-1017,"885 Cherry Ct, North Miami"
127,12/3/2022,Side Dish Plantains,Side ,4,3.59,14.36,Card,Z2504,Morning,(305) 506-1002,"400 Cedar Ln, Kendall"
128,8/7/2022,Side Dish Yuca Large,Side ,4,5.79,23.16,Online,O8563,Midnight,(308) 500-1014,"976 Elm St, Doral"
129,10/19/2022,Tres Leches ,Desert,7,4.99,34.93,Cash,Z2504,Morning,(307) 509-1007,"503 Main St,  Dolphin"
130,12/28/2022,Side dish Salad,Side ,1,15.45,15.45,Cash,E3960,Night,(310) 507-1021,"150 Birch Blvd,  Dolphin"
131,1/19/2023,Side Dish Plantains,Side ,5,3.59,17.95,Cash,O8563,Night,(308) 507-1008,"453 Willow Way, Hialeah"
132,12/5/2022,Chicken Sub 6in ,Chicken_Main ,5,8.99,44.95,Online,Z2504,Night,(308) 510-1011,"124 Birch Blvd, Miami"
133,12/20/2022,Side Dish Yuca,Side ,4,3.59,14.36,Online,E3960,Midnight,(309) 509-1001,
134,7/17/2022,Side Dish Mashed Potatoes,Side ,7,3.59,25.13,Online,E3960,Night,(305) 510-1000,"507 Birch Blvd, Kendall"
135,1/14/2023,Water ,Soda,6,1.5,9,Online,Z2504,Midnight,(306) 511-1012,
136,8/24/2022,2 Whole Chickents,Chicken_Main ,4,40.79,163.16,Online,Z2504,Morning,(310) 501-1005,"481 Elm St, Hialeah"
137,3/19/2023,Alfajor,Desert,2,3.45,6.9,Card,E3960,Afternoon,(309) 508-1017,"376 Birch Blvd, Homestead"
138,9/1/2022,Chicken Sub 6in ,Chicken_Main ,8,8.99,71.92,Online,Z2504,Night,(309) 502-1003,"207 Oak Ave, Hialeah"
139,2/26/2023,Chicha,Soda,8,3.6,28.8,Online,Z2504,Night,(310) 503-1001,"754 Birch Blvd, Homestead"
140,6/12/2022,Chicha,Soda,1,3.6,3.6,Cash,Z2504,Night,(305) 501-1018,"860 Pine Rd, Doral"
141,6/15/2022,Tres Leches ,Desert,5,4.99,24.95,Card,Z2504,Evening,(305) 505-1008,"429 Main St, Miami Beach"
142,12/30/2022,1 chicken and 4 sodas ,Combo ,8,40.54,324.32,Cash,O8563,Morning,(309) 502-1004,"665 Elm St, Miami"
143,9/18/2022,Side Dish Plantains,Side ,8,3.59,28.72,Card,Z2504,Afternoon,(309) 500-1013,"861 Cherry Ct, Miami"
144,11/17/2022,Side Dish Plantains,Side ,7,3.59,25.13,Cash,O8563,Evening,(308) 503-1004,
145,10/9/2022,Side Dish Beand,Side ,5,3.59,17.95,Online,Z2504,Morning,(307) 510-1000,"318 Cedar Ln, Miami"
146,10/28/2022,1/2 Chicken,Chicken_Main ,3,13.13,39.39,Card,Z2504,Afternoon,(310) 511-1009,"606 Birch Blvd, Homestead"
147,5/17/2022,Chicken Sub 12in,Chicken_Main ,1,12.99,12.99,Online,Z2504,Evening,(310) 506-1014,"699 Maple Dr, North Miami"
148,3/19/2023,Side Dish Plantains Large,Side ,1,5.79,5.79,Online,O8563,Evening,(309) 511-1016,"997 Elm St, Coral Gables"
149,8/9/2022,1/2 chicken salad and 2 sodas ,Combo ,7,17.99,125.93,Online,Z2504,Morning,(310) 504-1005,"918 Birch Blvd, Doral"
150,1/30/2023,1 Whole Chicken,Chicken_Main ,4,23.99,95.96,Cash,Z2504,Afternoon,(308) 506-1013,"530 Birch Blvd, Coral Gables"
151,7/10/2022,2 Whole Chickents,Chicken_Main ,1,40.79,40.79,Online,Z2504,Morning,(309) 511-1008,"754 Birch Blvd, Doral"
152,10/24/2022,Side Dish Yuca,Side ,1,3.59,3.59,Online,Z2504,Afternoon,(308) 506-1013,"530 Birch Blvd, Coral Gables"
153,7/21/2022,Side Dish Fries,Side ,8,3.59,28.72,Cash,Z2504,Evening,(305) 503-1005,"699 Oak Ave, Miami"
154,12/13/2022,Side Dish Mashed Potatoes Large,Side ,2,5.79,11.58,Cash,O8563,Night,(306) 509-1017,"232 Cherry Ct, Homestead"
155,2/7/2023,1 Piece Chicken ,Chicken_Main ,7,10.99,76.93,Cash,Z2504,Evening,(307) 501-1010,"105 Cherry Ct, Hialeah"
156,3/25/2023,Side Dish Fries,Side ,10,3.59,35.9,Cash,E3960,Midnight,(306) 506-1017,"320 Oak Ave, Kendall"
157,2/24/2023,Side Dish Yuca Large,Side ,10,5.79,57.9,Online,Z2504,Midnight,(310) 506-1010,"381 Pine Rd, North Miami"
158,5/16/2022,Side Dish Beans Large,Side ,5,5.79,28.95,Card,Z2504,Midnight,(310) 506-1007,"364 Pine Rd, Homestead"
159,10/3/2022,Side Dish Beans Large,Side ,1,5.79,5.79,Online,O8563,Afternoon,(306) 500-1018,"779 Pine Rd, Hialeah"
160,7/23/2022,Water ,Soda,7,1.5,10.5,Online,O8563,Night,(308) 500-1010,"661 Main St, Doral"
161,1/19/2023,2 Whole Chickents,Chicken_Main ,8,40.79,326.32,Cash,E3960,Evening,(310) 508-1013,"842 Elm St, Hialeah"
162,5/7/2022,Alfajor,Desert,9,3.45,31.05,Cash,O8563,Midnight,(308) 501-1020,"137 Cedar Ln, Hialeah"
163,1/6/2023,Side Dish Fries Large,Side ,1,5.79,5.79,Online,O8563,Midnight,(307) 508-1019,"290 Maple Dr, Hialeah"
164,8/10/2022,1 Piece Chicken ,Chicken_Main ,4,10.99,43.96,Online,E3960,Afternoon,(307) 506-1017,"708 Main St, Miami"
165,1/5/2023,Side dish Salad,Side ,9,15.45,139.05,Cash,Z2504,Midnight,(308) 510-1011,"124 Birch Blvd, Miami"
166,6/1/2022,Side Dish Plantains,Side ,7,3.59,25.13,Cash,O8563,Evening,(306) 502-1019,"435 Cherry Ct, Kendall"
167,2/23/2023,Water ,Soda,8,1.5,12,Cash,O8563,Morning,(309) 506-1020,"235 Main St, North Miami"
168,4/19/2022,Side Dish Yuca,Side ,9,3.59,32.31,Cash,O8563,Midnight,(306) 511-1005,"275 Elm St, Miami"
169,6/20/2022,Alfajor,Desert,6,3.45,20.7,Cash,Z2504,Morning,(308) 504-1001,
170,2/13/2023,Side dish Salad,Side ,3,15.45,46.35,Card,O8563,Afternoon,(305) 502-1003,"344 Cherry Ct, Hialeah"
171,3/2/2023,2 chickens and 4 sides ,Combo ,3,65.49,196.47,Cash,O8563,Midnight,(306) 509-1017,"232 Cherry Ct, Homestead"
172,8/27/2022,Side Dish Fries Large,Side ,5,5.79,28.95,Online,Z2504,Night,(306) 500-1018,"779 Pine Rd, Hialeah"
173,1/20/2023,Side Dish Plantains Large,Side ,4,5.79,23.16,Online,Z2504,Night,(308) 505-1007,"684 Pine Rd, Doral"
174,9/3/2022,Chicha,Soda,4,3.6,14.4,Online,Z2504,Evening,(306) 510-1008,"481 Cedar Ln, North Miami"
175,10/17/2022,Chicken Sub 6in ,Chicken_Main ,6,8.99,53.94,Cash,O8563,Afternoon,(307) 502-1017,"122 Oak Ave, Kendall"
176,8/4/2022,Tres Leches ,Desert,6,4.99,29.94,Cash,Z2504,Midnight,(308) 507-1001,"478 Main St, Coral Gables"
177,7/21/2022,2 Whole Chickents,Chicken_Main ,9,40.79,367.11,Online,O8563,Morning,(309) 511-1014,"823 Cherry Ct, Doral"
178,12/9/2022,Side Dish Yuca Large,Side ,4,5.79,23.16,Cash,E3960,Morning,(307) 510-1007,"996 Main St, Miami Beach"
179,3/3/2023,Side Dish Mashed Potatoes Large,Side ,9,5.79,52.11,Card,O8563,Midnight,(309) 505-1010,"355 Main St, Coral Gables"
180,12/1/2022,1/2 chicken salad and 2 sodas ,Combo ,5,17.99,89.95,Online,Z2504,Afternoon,(308) 511-1018,"344 Elm St, Coral Gables"
181,6/9/2022,Side Dish Plantains Large,Side ,5,5.79,28.95,Cash,O8563,Night,(309) 501-1006,"690 Cherry Ct, Miami Beach"
182,7/2/2022,Soda ,Soda,3,1.8,5.4,Cash,Z2504,Midnight,(310) 510-1018,
183,7/10/2022,1/2 Chicken,Chicken_Main ,1,13.13,13.13,Cash,Z2504,Midnight,(305) 502-1004,"961 Birch Blvd, Kendall"
184,1/3/2023,1 chicken and 4 sodas ,Combo ,1,40.54,40.54,Cash,O8563,Night,(308) 509-1001,"524 Cherry Ct, Coral Gables"
185,1/13/2023,Chicken Sub 12in,Chicken_Main ,3,12.99,38.97,Card,Z2504,Night,(308) 502-1021,"675 Cherry Ct, Miami Beach"
186,3/15/2023,Alfajor,Desert,5,3.45,17.25,Online,O8563,Afternoon,(308) 500-1020,"479 Elm St, Coral Gables"
187,10/11/2022,Chicken Sub 6in ,Chicken_Main ,4,8.99,35.96,Cash,E3960,Morning,(308) 506-1020,"896 Oak Ave, Hialeah"
188,12/28/2022,Side Dish Fries Large,Side ,6,5.79,34.74,Cash,Z2504,Night,(306) 509-1020,"552 Maple Dr, Hialeah"
189,2/8/2023,1/2 chicken with fries ,Combo ,5,15.99,79.95,Online,E3960,Afternoon,(307) 511-1011,"612 Maple Dr, Miami Beach"
190,4/26/2022,1/2 chicken with fries ,Combo ,3,15.99,47.97,Online,O8563,Evening,(309) 507-1017,"458 Pine Rd, Kendall"
191,5/20/2022,Side Dish Plantains Large,Side ,4,5.79,23.16,Cash,Z2504,Morning,(310) 502-1004,"424 Pine Rd, Hialeah"
192,10/26/2022,2 Whole Chickents,Chicken_Main ,2,40.79,81.58,Online,Z2504,Night,(308) 502-1004,"629 Main St, Hialeah"
193,2/5/2023,Tres Leches ,Desert,3,4.99,14.97,Online,Z2504,Midnight,(306) 507-1006,"232 Maple Dr, Hialeah"
194,12/15/2022,Chicha,Soda,3,3.6,10.8,Cash,O8563,Morning,(309) 501-1003,"505 Pine Rd,  Dolphin"
195,4/23/2022,Side Dish Fries,Side ,5,3.59,17.95,Cash,E3960,Night,(309) 504-1013,"540 Willow Way, Miami Beach"
